output|İyi Akşamlar
output182|Kişi arkadaşından bellidir
output183|Kişi refikinden azar
output184|Korku dağları bekler
output185|Kör görmez sezer
output186|Kuş, kanadına kira istemez
output187|Laf lafı açar
output188|Laf torbaya girmez
output189|Lâfla peynir gemisi yürümez
output190|Mahkeme kadıya mülk değil
output191|Mal canın yongasıdır
output192|Malın iyisi boğazdan geçer
output193|Mart ayı dert ayı
output194|Mart çıkmadıkça dert bitmez
output195|Maymun gözünü açtı
output196|Mızrak çuvala sığmaz
output197|Mürüvvete endaze olmaz
output198|Ne ekersen onu biçersin
output199|Ne kokar ne bulaşır
output200|Ne od var ne ocak
output201|Ne şiş yansın ne kebap
output202|Ne yârdan geçilir ne serden
output203|Nerede hareket, orda bereket
output204|Oduncunun gözü omçada
output205|Ölüm Allah’ın emri
output206|Ölüm hak miras helal
output207|Ölümle öç alınmaz
output208|Papaz her gün pilav yemez
output209|Para parayı çeker
output210|Para peşin, kırmızı meşin
output211|Paranın yüzü sıcaktır
output212|Parayı veren düdüğü çalar
output213|Sabah ola, hayrola
output214|Sakınılan göze çöp batar
output215|Sakla samanı, gelir zamanı
output216|Sel gider, kum kalır
output217|Selam verdik, borçlu çıktık
output218|Serçeden korkan darı ekmez
output219|Su bulanmayınca durulmaz
output220|Su testisi su yolunda kırılır
output221|Taş yerinde ağırdır
output222|Taşı sıksa suyunu çıkarır
output223|Teşbihte hata olmaz
output224|Tok açın hâlinden bilmez
output225|Ucuz alan, pahalı alır
output226|Ummadığın taş baş yarar
output227|Yarası olan gocunur
output228|Yarım elma, gönül alma
output229|Yaş kesen baş keser
output230|Yel gibi gelen sel gibi gider
output231|Yeme de yanında yat
output232|Yiğit meydanda belli olur
output233|Yüz yüzden utanır
output234|Zahmetsiz rahmet olmaz
output235|Zor oyunu bozar
output236|Zorla güzellik olmaz
output237|Abayı sermek
output238|Abayı yakmak
output239|Açık kapı bırakmak
output240|Ağız değiştirmek
output241|Akla karayı seçmek
output242|Akla hayale gelmemek
output243|Aklına geleni yapmak
output244|Aklını peynir ekmekle yemek
output245|Aklından çıkarmamak
output246|Aralarından kara kedi geçmek
output247|Asıp kesmek
output248|Aşık atmak
output249|Ayakları geri geri gitmek
output250|Baklayı ağzından çıkarmak
output251|Balık kavağa çıkınca
output252|Bam teline basmak
output253|Benzine kan gelmek
output254|Bıyık altından gülmek
output255|Bindiği dalı kesmek
output256|Boyunun ölçüsünü almak
output257|Bozuk çalmak
output258|Buluttan nem kapmak
output259|Burnunda tütmek
output260|Burnundan kıl aldırmamak
output261|Can evinden vurmak
output262|Canı burnuna gelmek
output263|Canını dişine takmak
output264|Cendereye sokmak
output265|Çamura bulaşmak
output266|Çetele tutmak
output267|Çil yavrusu gibi dağılmak
output268|Çizgisinden sapmamak
output269|Çizmeyi aşmak
output270|Çorbada tuzu bulunmak
output271|Çürük tahtaya basmak
output272|Daldan dala konmak
output273|Dal gibi kalmak
output274|Deveye hendek atlatmak
output275|Dikiş tutturamamak
output276|Dil dökmek
output277|Dile getirmek
output278|Dilinde tüy bitmek
output279|Diline düşmek
output280|Dilini tutamamak
output281|Dört duvar arasından kalmak
output282|Dumanı tepesinden çıkmak
output283|Dut yemiş bülbüle dönmek
output284|Dünya başına yıkılmak
output285|Dünyalara değişmemek
output286|Dünyayı tozpembe görmek
output287|El ayak çekilmek
output288|El değiştirmek
output289|Elden düşürmemek
output290|Eli boş dönmek
output291|Esamisi okunmamak
output292|Eşiğine yüz sürmek
output293|Etekleri zil çalmak
output294|Eteğindeki taşı dökmek
output295|Etek öpmek
output296|Etliye sütlüye karışmamak
output297|Ezbere iş görmek
output298|Faka basmak
output299|Fareler cirit oynamak
output300|Ferman dinlememek
output301|Fincancı katırlarını ürkütmek
output302|Forsunu yitirmek
output303|Fos çıkmak
output304|Foyası meydana çıkmak
output305|Gafil avlamak
output306|Gam çekmek
output307|Gazel okumak
output308|Geceyi gündüze katmak
output309|Gemi azıya almak
output310|Gemisini yürütmek
output311|Gık dememek
output312|Gına gelmek
output313|Gırgıra almak
output314|Göbeği çatlamak
output315|Göğsü kabarmak
output316|Göğüs geçirmek
output317|Göklere çıkarmak
output318|Gölge düşürmek
output319|Gönül almak
output320|Göz boyamak
output321|Gözlerini fal taşı gibi açmak
output322|Göz nuru dökmek
output323|Gözü açılmak
output324|Gözünü dört açmak
output325|Halep oradaysa arşın burada
output326|Hacet kalmamak
output327|Hâlden anlamak
output328|Hâli kalmamak
output329|Hallaç pamuğu gibi atmak
output330|Hapı yutmak
output331|Havanda su dövmek
output332|Havsalası almamak
output333|Her boyaya girip çıkmak
output334|Her kafadan bir ses çıkmak
output335|Her telden çalmak
output336|Hevesi kalmamak
output337|Hevesi kursağında kalmak
output338|Hevesini almak
output339|Heyheyleri tutmak
output340|Huyuna suyuna gitmek
output341|Huyunu suyunu değiştirmek
output342|Hüsrana uğramak
output343|Icığını cıcığını çıkarmak
output344|Isıtıp ısıtıp önüne koymak
output345|Iskartaya çıkarmak
output346|Işık almak
output347|İbret almak
output348|İç açmak
output349|İç çekmek
output350|İçine kurt düşmek
output351|İçi açılmak
output352|İçi bayılmak
output353|İçi cız etmek
output354|İçi daralmak
output355|İçi dayanmamak
output356|İçi dışına çıkmak
output357|İçi erimek
output358|İçi gitmek
output359|İçi içine sığmamak
output360|İçi kan ağlamak
output361|İçi kazınmak
output362|İçi parçalanmak
output363|İçi rahat etmek
output364|İçi sızlamak
output365|İçi yanmak
output366|İçinden geçirmek
output367|İçinden gelmek
output368|İçine atmak
output369|İçine daralma gelmek
output370|İçine doğmak
output371|İçtikleri su ayrı gitmemek
output372|İçine kapanmak
output373|İçine kurt düşmek
output374|İçine sinmek
output375|İçini ısıtmak
output376|İçini karartmak
output377|İçini kemirmek
output378|İçini okumak
output379|İğne ile kuyu kazmak
output380|İğne ipliğe dönmek
output381|İki arada bir derede kalmak
output382|İki ateş arasında kalmak
output383|İki gözü iki çeşme ağlamak
output384|İnce eleyip sık dokumak
output385|İn cin top oynamak
output386|İpe sapa gelmemek
output387|İpe un sermek
output388|İpliği pazara çıkmak
output389|İpi koparmak
output390|İpin ucunu kaçırmak
output391|İple çekmek
output392|İstifini bozmamak
output393|İş başa düşmek
output394|İş çığırından çıkmak
output395|İş sarpa sarmak
output396|İşi aksi gitmek
output397|İşkembeden atmak
output398|İz bırakmak
output399|İzinden yürümek
output400|Jetonu geç düşmek
output401|Kabak başına patlamak
output402|Kabak tadı vermek
output403|Kabına sığmamak
output404|Kabir azabı çekmek
output405|Kabuğuna çekilmek
output406|Kafa patlatmak
output407|Kafa sallamak
output408|Kafası bozulmak
output409|Kafasına dank etmek
output410|Kafasına koymak
output411|Kâğıt üzerinde kalmak
output412|Kalburla su taşımak
output413|Kale almamak
output414|Kaleyi içinden fethetmek
output415|Kalıbını basmak
output416|Kalıbının adamı olmamak
output417|Kalıptan kalıba girmek
output418|Kanadı altına almak
output419|Kanat germek
output420|Kan beynine sıçramak
output421|Kancayı takmak
output422|Kan ter içinde kalmak
output423|Kapağı atmak
output424|Kapı aralamak
output425|Kapıda kalmak
output426|Kapıları kapamak
output427|Kapısını aşındırmak
output428|Kapıyı göstermek
output429|Kara çalmak
output430|Karıncayı bile ezmemek
output431|Karnı zil çalmak
output432|Kaş göz işareti yapmak
output433|Kaşık çalmak
output434|Kaşlarını çatmak
output435|Keli görünmek
output436|Kelleyi koltuğuna almak
output437|Kelleyi vermek
output438|Kemer sıkmak
output439|Kök söktürmek
output440|Kökünden halletmek
output441|Kökünü kazmak
output442|Kraldan çok kralcı olmak
output443|Kulağına girmemek
output444|Kulağına kar suyu kaçmak
output445|Kulak kesilmek
output446|Kulp takmak
output447|Kuş gibi çırpınmak
output448|Kuş uçurmamak
output449|Külahını ters giydirmek
output450|Külahları değişmek
output451|Küpünü doldurmak
output452|Kürek kadar dili olmak
output453|Laf altında kalmamak
output454|Laf işitmek
output455|Lafa karışmak
output456|Lafa tutmak
output457|Lokmasını saymak
output458|Lügat paralamak
output459|Mahalleyi ayağa kaldırmak
output460|Mantar gibi yerden bitmek
output461|Masal okumak
output462|Masrafa girmek
output463|Mekik dokumak
output464|Meteliğe kurşun atmak
output465|Metelik vermemek
output466|Meydan okumak
output467|Meydana çıkarmak
output468|Meydana getirmek
output469|Meydanı boş bulmak
output470|Mum tutturmak
output471|Mumla aramak
output472|Muradına ermek
output473|Mürekkep yalamak
output474|Nabzına göre şerbet vermek
output475|Nabzını tutmak
output476|Nabzını yoklamak
output477|Nefes aldırmamak
output478|Nefes tüketmek
output479|Nefesini tutup beklemek
output480|Ne oldum delisi olmak
output481|Not tutmak
output482|On paraya on takla atmak
output483|O tarakta bezi olmamak
output484|Oyuna gelmek
output485|Oyunun kurallarını bilmek
output486|Ölçüyü kaçırmak
output487|Ölümü göze almak
output488|Ömür çürütmek
output489|Ömrü vefa etmemek
output490|Ömrüne ömür katmak
output491|Öpüp başına koymak
output492|Pabucunu ters giydirmek
output493|Pabucu dama atılmak
output494|Paçaları sıvamak
output495|Paçayı kurtarmak
output496|Paha biçmek
output497|Pahalıya mal olmak
output498|Paniğe kapılmak
output499|Palavra atmak
output500|Para saçmak
output501|Parasını sokağa atmak
output502|Parasıyla rezil olmak
output503|Paraya kıymak
output504|Paraya para dememek
output505|Parmağı ağzında kalmak
output506|Parmağında oynatmak
output507|Parmak kaldırmak
output508|Parmak ısırmak
output509|Parmakla gösterilmek
output510|Papara yemek
output511|Patırtıya pabuç bırakmamak
output512|Parsayı başkası toplamak
output513|Pılı pırtıyı toplamak
output514|Pire için yorgan yakmak
output515|Pireyi deve yapmak
output516|Post elden gitmek
output517|Posta koymak
output518|Postu kurtarmak
output519|Pot kırmak
output520|Punduna getirmek
output521|Pusulayı şaşırmak
output522|Put kesilmek
output523|Rafa kaldırmak
output524|Rahat yüzü görmemek
output525|Rayına girmek
output526|Rengi atmak
output527|Renk vermemek
output528|Renkten renge girmek
output529|Rüzgâr ekip fırtına biçmek
output530|Rüzgârdan nem kapmak
output531|Saat gibi işlemek
output532|Saati saatine uymamak
output533|Sabrı taşmak
output534|Saçına ak düşmek
output535|Saçını başını yolmak
output536|Saçını süpürge etmek
output537|Sağ gösterip sol vurmak
output538|Safra bastırmak
output539|Sakalı ele vermek
output540|Sakalına kar yağmak
output541|Sallantıda bırakmak
output542|Sallantıda kalmak
output543|Saman altından su yürütmek
output544|Sarpa sarmak
output545|Sepet havası çalmak
output546|Sermayeyi kediye yüklemek
output547|Sevinci kursağında kalmak
output548|Sevinçten havalara uçmak
output549|Seyirci kalmak
output550|Sıfırdan başlamak
output551|Sıfırı tüketmek
output552|Sırra kadem basmak
output553|Sırtından geçinmek
output554|Sırtı yere gelmemek
output555|Kimse vazgeçilmez değil.
output556|Deniz kestanesi
output557|Kan kırmızısı
output558|Türkiye Cumhuriyeti
output559|Merhaba, nasılsınız?
output560|Bugün hava çok güzel.
output561|Ne yapıyorsun?
output562|Adın ne?
output563|Ben iyiyim, teşekkür ederim.
output564|Yardım eder misin?
output565|Beni anlıyor musun?
output566|Burası çok sessiz.
output567|Çok heyecanlıyım.
output568|İstanbul'u çok seviyorum.
output569|Bu akşam sinemaya gideceğiz.
output570|Sana nasıl yardımcı olabilirim?
output571|Siz nasılsınız?
output572|Yavaşça konuşur musun?
output573|Bu ne kadar güzel bir manzara.
output574|Bir fincan kahve alır mısın?
output575|Kütüphane nerede?
output576|Telefonumun şarjı bitiyor.
output577|Biraz daha yüksek sesle söyleyebilir misin?
output578|Öğle yemeğinde ne yedik?
output579|Saat kaç?
output580|Bana yol tarifi verebilir misin?
output581|Yeni bir şey öğrenmek çok güzel.
output582|Burası çok kalabalık.
output583|Bu kadar kolay mı?
output584|Hangi filmi izlemek istersin?
output585|Hava soğudu, montumu alayım.
output586|Dışarıda yağmur yağıyor.
output587|Bugün çok mutluyum.
output588|Kendine dikkat et.
output589|Daha fazla soru sorabilir miyim?
output590|Saat altı oldu.
output591|İstanbul'a ilk kez geliyorum.
output592|Herkese merhaba.
output593|Güzel bir gün geçiriyorum.
output594|Benimle gelmek ister misin?
output595|Beni takip eder misin?
output596|O kadar çok sevindim ki.
output597|Yavaş ol lütfen.
output598|Biraz bekler misin?
output599|Bugün işlerim çok yoğun.
output600|Bir su alabilir miyim?
output601|Burada çok fazla kişi var.
output602|Yardımcı olabileceğim bir şey var mı?
output603|Okul ne zaman başlıyor?
output604|Telefonum çalıyor.
output605|Hangi takımı tutuyorsun?
output606|Çok çalıştım ve yoruldum.
output607|Sana bir hediye aldım.
output608|Çalışmaya devam ediyorum.
output609|Hangi filmi izledin?
output610|Kahvaltı hazırladım, gelmek ister misin?
output611|O kitabı okumak istiyorum.
output612|Sana nasıl yardımcı olabilirim?
output613|Şu an çok meşgulüm.
output614|Köpeğimle yürüyüşe çıktım.
output615|Bunun ne kadar süreceğini bilmiyorum.
output616|Bugün hangi dersi çalıştın?
output617|Eve nasıl gidilir?
output618|Küçük bir hatam oldu.
output619|Güzel bir hafta sonu geçirdim.
output620|Nerede buluşalım?
output621|Her şey yolunda.
output622|Birlikte çalışmak çok keyifli.
output623|Bunu daha sonra yapalım.
output624|Çalışmalarımın sonucu çok iyi oldu.
output625|Bu hafta sonu tatile çıkacağım.
output626|Bir şeyler içmek ister misin?
output627|Bu şarkıyı çok seviyorum.
output628|Kalkmam gerek.
output629|Çalışmak için motivasyon bulamıyorum.
output630|Saat üçte görüşelim.
output631|Yavaşça anlatabilir misin?
output632|En sevdiğin renk nedir?
output633|Bunu hemen yapmalıyız.
output634|Beni arar mısın?
output635|Arkadaşlarım beni bekliyor.
output636|Biraz daha sabırlı olmalısın.
output637|Nerede yemek yiyeceğiz?
output638|Daha sonra konuşuruz.
output639|Dışarıda çok sıcak.
output640|Herkes çok neşeliydi.
output641|Bu sorunun cevabını biliyorum.
output642|Telefonumda çok mesaj var.
output643|Bunu seninle paylaşmak istiyorum.
output644|Ben de seni seviyorum.
output645|Herkes çok iyi çalıştı.
output646|Çok fazla seçenek var.
output647|Bugün hiç dışarı çıkmadım.
output648|Yanımda olmak çok güzel.
output649|Bunu unutmak istemiyorum.
output650|Yeni bir şeyler denemek istiyorum.
output651|Siz neler yapıyorsunuz?
output652|Tatilin nasıl geçti?
output653|Çok daha iyi hissediyorum.
output654|Birlikte vakit geçirmek çok eğlenceli.
output655|Çalışmam bitmek üzere.
output656|Bunu denemek için sabırsızlanıyorum.
output657|Yarın sabah erken kalkmam gerekiyor.
output658|Çok fazla işim var.
output659|Burası gerçekten çok güzel.
output660|Biraz dinlenmek iyi olacak.
output661|Bana biraz zaman ver.
output662|Çalışmalarımın tamamlanması uzun sürebilir.
output663|Beni tekrar görmek çok güzel.
output664|Bunu senin için hazırladım.
output665|Bu konuyu daha sonra konuşalım.
output666|Hikaye çok ilginçti.
output667|Yeni telefon aldım.
output668|Sinemaya gitmek istiyorum.
output669|Bu akşamki planların ne?
output670|Bugün çok yoruldum.
output671|Bu sabah kahvaltı yapmadım.
output672|Hava çok güzel, dışarıda gezelim.
output673|Çok dikkatli olmalısın.
output674|Bu çok zor bir soru.
output675|Kendi işimi kurmak istiyorum.
output676|Bu fikri çok beğendim.
output677|Biraz daha sabret lütfen.
output678|Tatilde çok eğlendim.
output679|Yavaş ol, acele etme.
output680|Bunu mutlaka denemelisin.
output681|Daha fazla soru sormak istiyorum.
output682|Ne kadar sürecek?
output683|İşim bitti, seni bekliyorum.
output684|Benimle gelmek ister misin?
output685|Dışarıda yağmur yağıyor.
output686|Bunu hemen yapmamız gerekiyor.
output687|Birkaç günlüğüne tatile çıkıyorum.
output688|Bugün harika bir gün.
output689|Beni unutma, lütfen.
output690|Sizi görmek çok güzel.
output691|Bunun üzerine konuşalım.
output692|Birazdan dışarı çıkacağız.
output693|Bu akşam tiyatroya gideceğiz.
output694|Bugün işlerin nasıl gidiyor?
output695|Farklı bir şeyler denemek isterim.
output696|Sonsuza kadar arkadaş kalacağız.
output697|Bunun hakkında daha fazla bilgi edinmeliyim.
output698|Bu kadar çok iş var mı?
output699|Bu soruyu çözmek çok zor.
output700|Geceyi dışarıda geçireceğiz.
output701|Daha önce burada bulundun mu?
output702|Yolda bir şey oldu.
output703|Köpeğim çok oyuncudur.
output704|Bugün çok keyifli bir gün geçirdim.
output705|Beni aramayı unutma.
output706|Çalışma odam çok sessiz.
output707|Bugün çok güzel bir gün.
output708|Havanın nasıl olduğunu gördün mü?
output709|Akşam ne yapmak istersin?
output710|Bugün öğle yemeğinde ne yedin?
output711|Film izlemeyi sever misin?
output712|En sevdiğin renk nedir?
output713|Tatilde gitmek istediğin yer neresi?
output714|Sabahları erken kalkmayı severim.
output715|Gelecek hafta tatilde olacağım.
output716|Kitap okumak çok keyifli bir aktivitedir.
output717|Yeni bir dil öğrenmeye başladım.
output718|En son hangi filmi izledin?
output719|Yaz tatilinde denize girmeyi planlıyorum.
output720|Kışın kar yağmasını çok severim.
output721|Çalışma odasında çok sessiz bir ortam var.
output722|Yemek yapmayı öğreniyorum.
output723|Bugün çok yoğun bir gün geçirdim.
output724|Düzenli olarak spor yapıyorum.
output725|Sabah kahvesiz uyanamam.
output726|Öğle yemeği için dışarı çıkmayı düşünüyorum.
output727|Bahçemde çiçekler açmaya başladı.
output728|Doğa yürüyüşleri yapmayı çok seviyorum.
output729|En sevdiğim tatlı çikolatadır.
output730|Öğrenmek istediğim çok şey var.
output731|Ailemle vakit geçirmekten keyif alırım.
output732|Hangi tür müzikleri dinlersin?
output733|Sonunda işimi bitirdim.
output734|Gün batımını izlemek çok huzur verici.
output735|Sabahları yürüyüş yaparak güne başlamak hoşuma gidiyor.
output736|Yeni bir hobi edinmeyi düşünüyorum.
output737|Bu akşam bir arkadaşımın doğum günü var.
output738|Dışarıda hava gerçekten çok soğuk.
output739|Baharda ağaçlar çiçek açar.
output740|Yaz tatilini sabırsızlıkla bekliyorum.
output741|Yeni bir film izlemeyi düşünüyorum.
output742|Yıldızları izlemek çok hoş bir aktivitedir.
output743|Akşam yemeğinde ne pişireceğimi düşünüyorum.
output744|Bugün çok fazla yürüdüm.
output745|Dışarıda yağmur yağıyor.
output746|En sevdiğim yemek pizza.
output747|Sağlıklı olmak için spor yapmaya çalışıyorum.
output748|Bugün evde çalışmak zorundayım.
output749|Bu hafta sonu sinemaya gitmeyi planlıyorum.
output750|Kitap okumak her zaman eğlenceli olmuştur.
output751|Sabahları kahvaltı yapmadan evden çıkmam.
output752|Evde pizza yapmayı denemek istiyorum.
output753|Bilgisayar oyunlarını çok severim.
output754|Yılbaşı tatili için bir planım yok.
output755|Bu hafta çok yoğun bir programım var.
output756|Yeni bir telefon almayı düşünüyorum.
output757|Bugün biraz alışveriş yapmalıyım.
output758|Akşam dışarıda yemek yiyeceğiz.
output759|Kışın kayak yapmayı çok severim.
output760|Bahçede biraz vakit geçirdim.
output761|Evde tek başıma zaman geçirmek hoşuma gidiyor.
output762|Yaz tatilinde denize girmeyi planlıyorum.
output763|Dışarıda çok güzel bir gün.
output764|Kitapçıda çok güzel kitaplar var.
output765|Akşam yemeği için sebze çorbası yapmayı düşünüyorum.
output766|Doğal ürünleri tercih ediyorum.
output767|Bugün yoga yapmayı denedim.
output768|Çalışmak için biraz sessiz bir yer arıyorum.
output769|Bu sabah kahvaltımı dışarıda yaptım.
output770|Ailemle tatile gitmeyi çok seviyorum.
output771|Bugün pazara gitmeye karar verdim.
output772|Birlikte film izlemek çok eğlenceli.
output773|Bu yaz tatili için rezervasyon yaptım.
output774|Haftasonu gezisi yapmayı düşünüyorum.
output775|Akşam üzeri parkta yürüyüş yapacağım.
output776|Yavaşça koşarak sabahları güne başlıyorum.
output777|Yeni bir telefon almak istiyorum.
output778|Tatile çıktığımda fotoğraf çekmeyi çok severim.
output779|Kütüphanede sessiz bir ortamda çalışmak hoşuma gidiyor.
output780|En sevdiğim meyve çilektir.
output781|Gece yıldızları izlemeyi çok seviyorum.
output782|Hafta sonu arkadaşlarımın evine gideceğim.
output783|Film izlemek için akşamı bekliyorum.
output784|Bugün yeni bir bilgisayar aldım.
output785|Yavaşça yürüyerek parka gitmek çok keyifli.
output786|Yaz tatilinde deniz kenarında vakit geçirmek istiyorum.
output787|Akşam yemeğini dışarıda yemeyi planlıyorum.
output788|Birkaç hafta önce yeni bir telefon aldım.
output789|Sık sık müzik dinlerim.
output790|Bu sabah kahvaltıdan sonra yürüyüşe çıktım.
output791|Hafta sonu ailemle birlikte pikniğe gideceğiz.
output792|Kitap okumayı asla ihmal etmem.
output793|Sabahları yürüyüş yaparak güne başlamak hoşuma gidiyor.
output794|Akşamları erken yatmaya çalışırım.
output795|Spor salonuna kaydoldum ve her gün gidiyorum.
output796|Bugün çok güzel bir hava var.
output797|Gün sonunda rahatlamak için müzik dinlerim.
output798|Haftada bir kere sinemaya gitmeye karar verdim.
output799|Bu sabah bir arkadaşım bana sürpriz yaptı.
output800|Akşam yürüyüşe çıkmayı seviyorum.
output801|Bugün çok fazla çalışmam gerekti.
output802|Yine yeni bir proje üzerinde çalışıyorum.
output803|Yeni bir telefon almak istiyorum.
output804|Müzik dinlerken çalışmak daha verimli oluyor.
output805|Günü güzel geçirmek için dışarıda bir şeyler yapmak gerekir.
output806|Bu hafta sonu birkaç arkadaşım ile buluşacağım.
output807|Bu akşam sinemaya gitmek istiyorum.
output808|Kısa bir tatil yapmayı düşünüyorum.
output809|Günü birlikte geçirdiğimizde çok eğleniyoruz.
output810|Akşam için bir planım yok.
output811|Akşam yemeğini dışarıda yiyeceğiz.
output812|Baharda çiçekler açtığında park çok güzel olur.
output813|Bu hafta sonu bir doğa yürüyüşüne çıkacağım.
output814|Sinema biletini aldım, akşam izlemeye gideceğiz.
output815|Kitapçıda yeni çıkan kitapları inceledim.
output816|Yeni bir telefon almak istiyorum.
output817|Şehir merkezinde alışveriş yapmayı seviyorum.
output818|Bu sabah kahve içmeden güne başlayamıyorum.
output819|Çalışma alanımda her şey düzenli olmalı.
output820|Bugün biraz eğlenceli bir şeyler yapmak istiyorum.
output821|Yeni yıl için bir seyahat planım var.
output822|Yılbaşında ailemle birlikte olacağım.
